epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,136.213,0.82024,1.3837,1.16218,1.40848,0,0.92137,0.91091,0.93263,0.71871,0.90724,0.90708,0.91872,0.67099,0.84807,1.59146,1.2974,1.54024,0,0.00117435,0.00117435,0.00117435
29,141.125,0.82546,1.29976,1.1299,1.43653,0,0.92256,0.92371,0.94849,0.70731,0.85539,0.88322,0.88967,0.56989,0.87067,1.64123,1.18981,1.57316,0,0.00116492,0.00116492,0.00116492
30,144.837,0.82807,1.30974,1.15319,1.43408,0,0.95705,0.92446,0.95334,0.72611,0.86468,0.82818,0.84173,0.54608,0.86065,1.70971,1.09113,1.53739,0,0.00115549,0.00115549,0.00115549
31,148.752,0.74826,1.11471,1.06539,1.36996,0,0.86747,0.91082,0.93327,0.65921,0.90248,0.8928,0.93914,0.7408,0.95503,1.10969,1.21504,1.55114,0,0.00114606,0.00114606,0.00114606
32,154.623,0.79361,1.25987,1.10412,1.38545,0,0.89503,0.91783,0.94723,0.73909,0.90201,0.92535,0.9483,0.72311,0.86699,1.21359,1.16363,1.49328,0,0.00113663,0.00113663,0.00113663
33,158.53,0.81234,1.3966,1.08267,1.42917,0,0.95598,0.93773,0.94893,0.72031,0.96152,0.94156,0.95037,0.67492,0.89125,1.49475,1.04944,1.55136,0,0.0011272,0.0011272,0.0011272
34,162.4,0.71218,1.28137,0.97882,1.34383,0,0.95359,0.93286,0.94656,0.77231,0.97329,0.93773,0.95635,0.72171,0.78346,1.26726,0.89631,1.4296,0,0.00111776,0.00111776,0.00111776
35,167.124,0.74138,1.13602,0.97052,1.35774,0,0.95055,0.93773,0.94922,0.80123,0.95967,0.94922,0.95462,0.76787,0.72699,1.09396,0.85013,1.37199,0,0.00110833,0.00110833,0.00110833
36,172.124,0.758,1.21487,1.023,1.38646,0,0.94479,0.91119,0.94276,0.79721,0.93982,0.90621,0.93779,0.77434,0.76793,1.06114,0.96478,1.36097,0,0.0010989,0.0010989,0.0010989
37,176.244,0.73525,1.2716,1.036,1.3106,0,0.95484,0.91036,0.94613,0.79379,0.9647,0.91793,0.95184,0.79217,0.76072,1.00491,0.95368,1.36275,0,0.00108947,0.00108947,0.00108947
38,180.364,0.71996,1.21352,0.99309,1.34811,0,0.95721,0.93143,0.94869,0.75395,0.96744,0.93561,0.95373,0.78757,0.8219,1.03125,0.97674,1.4426,0,0.00108004,0.00108004,0.00108004
39,186.793,0.6861,1.19002,1.00092,1.30503,0,0.96339,0.92919,0.95601,0.80312,0.97165,0.93681,0.95664,0.79043,0.7449,0.99342,0.99543,1.35393,0,0.00107061,0.00107061,0.00107061
40,190.766,0.68269,1.23515,0.96004,1.34879,0,0.96609,0.92806,0.95614,0.81959,0.97029,0.93189,0.95796,0.80423,0.67213,0.94408,0.94497,1.26494,0,0.00106118,0.00106118,0.00106118
41,195.343,0.7256,1.21947,0.97306,1.34043,0,0.91855,0.94042,0.94206,0.78005,0.92256,0.93927,0.94894,0.78999,0.6991,1.07149,1.02824,1.29495,0,0.00105174,0.00105174,0.00105174
42,200.874,0.7029,1.20436,1.01744,1.28042,0,0.93142,0.94922,0.94552,0.75673,0.94032,0.9477,0.95222,0.78238,0.7382,1.16541,1.01204,1.35724,0,0.00104231,0.00104231,0.00104231
43,205.591,0.68949,1.08401,0.93621,1.33491,0,0.94533,0.95058,0.95387,0.75401,0.95237,0.95907,0.96074,0.79198,0.74174,1.13741,0.96062,1.38541,0,0.00103288,0.00103288,0.00103288
44,209.333,0.75607,1.22965,1.00066,1.36532,0,0.96897,0.92525,0.96407,0.76609,0.98039,0.92867,0.96217,0.81153,0.70118,1.07907,0.93053,1.31177,0,0.00102345,0.00102345,0.00102345
45,214.171,0.67479,1.13766,0.91529,1.30294,0,0.9701,0.92437,0.95981,0.78884,0.96946,0.92137,0.95026,0.78982,0.69893,1.18336,0.92575,1.31744,0,0.00101402,0.00101402,0.00101402
46,219.317,0.70763,1.16714,0.94473,1.32833,0,0.95694,0.93115,0.95845,0.80177,0.97111,0.92126,0.94836,0.77301,0.71079,1.26914,0.90579,1.34461,0,0.00100459,0.00100459,0.00100459
47,223.16,0.66215,1.09978,0.87231,1.26841,0,0.91676,0.90773,0.9409,0.80587,0.91595,0.90783,0.93326,0.75631,0.74037,1.21603,0.94422,1.35524,0,0.000995156,0.000995156,0.000995156
48,227.102,0.65543,1.12784,0.88828,1.26265,0,0.92692,0.88026,0.93166,0.77873,0.92256,0.87414,0.92303,0.69749,0.79141,1.25244,0.99164,1.39701,0,0.000985724,0.000985724,0.000985724
49,233.077,0.71707,1.15358,0.89438,1.31295,0,0.89983,0.90613,0.93647,0.76631,0.89179,0.89787,0.93211,0.7481,0.76573,1.02244,0.90704,1.35565,0,0.000976293,0.000976293,0.000976293
50,237.153,0.64805,1.27515,0.8937,1.2483,0,0.92056,0.9224,0.94419,0.79767,0.92047,0.90735,0.94117,0.78393,0.72204,0.92795,0.84739,1.3065,0,0.000966861,0.000966861,0.000966861
51,241.26,0.70935,1.16029,0.93244,1.29732,0,0.96155,0.92426,0.95631,0.7851,0.96031,0.92126,0.95816,0.79592,0.75081,0.95492,0.82413,1.34271,0,0.00095743,0.00095743,0.00095743
52,246.356,0.67204,1.12656,0.87258,1.25958,0,0.97359,0.93013,0.9618,0.79598,0.97433,0.92604,0.95232,0.76108,0.72637,1.13894,0.79078,1.32787,0,0.000947999,0.000947999,0.000947999
53,250.944,0.66357,1.21661,0.86478,1.27048,0,0.98491,0.91563,0.95955,0.78877,0.97577,0.90827,0.94605,0.71699,0.74979,1.32995,0.80496,1.3521,0,0.000938567,0.000938567,0.000938567
54,254.841,0.66985,1.07925,0.86312,1.25081,0,0.96702,0.91743,0.95466,0.80896,0.95934,0.91218,0.94486,0.70893,0.70819,1.3688,0.80874,1.3055,0,0.000929136,0.000929136,0.000929136
55,259.064,0.67828,1.14122,0.88569,1.2801,0,0.94911,0.91743,0.94771,0.80015,0.95773,0.92509,0.95344,0.73307,0.69884,1.09101,0.82584,1.28194,0,0.000919704,0.000919704,0.000919704
56,264.754,0.71492,1.19862,0.94599,1.33564,0,0.90837,0.92892,0.95322,0.80679,0.91223,0.93275,0.95831,0.74272,0.68195,1.03439,0.88087,1.26463,0,0.000910273,0.000910273,0.000910273
57,268.625,0.61627,1.02245,0.81189,1.2305,0,0.93953,0.93773,0.96798,0.84744,0.94214,0.93275,0.96632,0.81722,0.65753,0.90784,0.84949,1.2368,0,0.000900842,0.000900842,0.000900842
58,272.63,0.65113,1.03202,0.89793,1.25636,0,0.94371,0.94539,0.96995,0.84906,0.94601,0.94156,0.96735,0.82617,0.65718,0.94913,0.8455,1.2285,0,0.00089141,0.00089141,0.00089141
59,278.189,0.65733,1.08243,0.85442,1.30276,0,0.96629,0.93756,0.96793,0.82108,0.96629,0.93756,0.9674,0.83342,0.68059,0.91485,0.86459,1.23532,0,0.000881979,0.000881979,0.000881979
60,282.85,0.6874,1.12268,0.92176,1.31704,0,0.97719,0.9339,0.97329,0.84681,0.97081,0.93398,0.96989,0.84498,0.60782,0.89331,0.75054,1.18598,0,0.000872547,0.000872547,0.000872547
61,286.825,0.62178,1.19299,0.85338,1.22978,0,0.9682,0.93964,0.9708,0.84835,0.97231,0.94335,0.9717,0.83274,0.62476,0.90753,0.72201,1.21601,0,0.000863116,0.000863116,0.000863116
62,292.238,0.66255,1.02169,0.85671,1.26149,0,0.9616,0.94611,0.97157,0.82518,0.96552,0.94994,0.97432,0.8296,0.69118,0.92814,0.73778,1.28787,0,0.000853685,0.000853685,0.000853685
63,297.304,0.64509,1.2485,0.78827,1.25247,0,0.97556,0.92623,0.96689,0.84824,0.94895,0.93931,0.96212,0.80271,0.6962,1.00274,0.74202,1.29733,0,0.000844253,0.000844253,0.000844253
64,301.235,0.62396,1.0899,0.77758,1.23175,0,0.96159,0.9224,0.9629,0.81898,0.96399,0.93322,0.9676,0.79867,0.73751,0.97858,0.75728,1.32438,0,0.000834822,0.000834822,0.000834822
65,305.379,0.63155,1.05055,0.85955,1.28642,0,0.96453,0.9193,0.95837,0.81899,0.95078,0.94648,0.96365,0.81841,0.69794,0.96493,0.74411,1.27302,0,0.00082539,0.00082539,0.00082539
66,310.833,0.59132,1.02052,0.83401,1.22862,0,0.95591,0.93248,0.95962,0.8454,0.95596,0.93708,0.96105,0.82878,0.62941,0.92343,0.73431,1.19972,0,0.000815959,0.000815959,0.000815959
67,314.767,0.6114,1.05034,0.82459,1.29058,0,0.94703,0.93263,0.96585,0.85725,0.95694,0.94884,0.96728,0.83107,0.62437,0.88544,0.71564,1.18505,0,0.000806528,0.000806528,0.000806528
68,318.536,0.59699,0.96882,0.801,1.20743,0,0.96584,0.93001,0.96491,0.83139,0.97608,0.95445,0.97483,0.81136,0.65192,0.86379,0.69641,1.19111,0,0.000797096,0.000797096,0.000797096
69,323.871,0.5849,1.00094,0.79485,1.25875,0,0.96979,0.92369,0.96659,0.84246,0.9753,0.95305,0.97596,0.80728,0.62597,0.9126,0.70322,1.16562,0,0.000787665,0.000787665,0.000787665
70,328.175,0.59269,0.97561,0.79883,1.20811,0,0.95679,0.9339,0.969,0.84589,0.96908,0.94539,0.97431,0.79558,0.609,0.95775,0.70428,1.15059,0,0.000778233,0.000778233,0.000778233
71,332.348,0.56532,1.01228,0.77073,1.19663,0,0.97884,0.92356,0.97748,0.85421,0.98737,0.92319,0.96736,0.81167,0.6155,0.92062,0.66009,1.1522,0,0.000768802,0.000768802,0.000768802
72,336.641,0.59647,1.0653,0.80082,1.21671,0,0.99035,0.91058,0.97569,0.86269,0.98448,0.91405,0.9691,0.81087,0.60391,0.92049,0.65752,1.14107,0,0.000759371,0.000759371,0.000759371
73,342.179,0.5861,1.0036,0.76211,1.20411,0,0.97427,0.93275,0.97212,0.86583,0.9774,0.93658,0.96597,0.8233,0.58626,0.85809,0.67171,1.13923,0,0.000749939,0.000749939,0.000749939
74,346.034,0.58435,0.92724,0.74427,1.21218,0,0.96296,0.9339,0.97059,0.86061,0.97121,0.94156,0.96915,0.82969,0.59951,0.82615,0.66675,1.15653,0,0.000740508,0.000740508,0.000740508
75,349.867,0.56955,0.96131,0.73188,1.20668,0,0.95861,0.93773,0.97026,0.856,0.96695,0.94539,0.96785,0.83146,0.61298,0.83457,0.6912,1.16954,0,0.000731076,0.000731076,0.000731076
76,355.546,0.63664,0.94574,0.75504,1.25367,0,0.95173,0.93533,0.96907,0.84722,0.96386,0.93275,0.96432,0.83796,0.62233,0.83086,0.71525,1.17008,0,0.000721645,0.000721645,0.000721645
77,359.561,0.65026,0.9656,0.81097,1.30667,0,0.94823,0.93773,0.9704,0.84595,0.95109,0.93658,0.96517,0.8342,0.60987,0.83564,0.69091,1.15497,0,0.000712214,0.000712214,0.000712214
78,363.376,0.60938,0.9361,0.73557,1.20149,0,0.96286,0.94805,0.97626,0.85587,0.96053,0.94425,0.97214,0.83014,0.59718,0.83689,0.64859,1.13865,0,0.000702782,0.000702782,0.000702782
79,367.751,0.59664,0.98816,0.76782,1.24633,0,0.96563,0.94563,0.98138,0.86884,0.96053,0.93658,0.97532,0.84392,0.56829,0.76527,0.63746,1.11565,0,0.000693351,0.000693351,0.000693351
80,372.983,0.59169,0.95775,0.75045,1.20957,0,0.9852,0.9306,0.98443,0.87521,0.98221,0.9262,0.9782,0.85246,0.56682,0.75818,0.62364,1.1151,0,0.000683919,0.000683919,0.000683919
81,376.927,0.57254,0.93734,0.70187,1.20185,0,0.9686,0.93897,0.97957,0.87629,0.97322,0.94425,0.9767,0.85684,0.57283,0.77827,0.62506,1.11052,0,0.000674488,0.000674488,0.000674488
82,380.938,0.58379,0.91886,0.69829,1.19802,0,0.96263,0.95182,0.98347,0.87362,0.97423,0.94345,0.97632,0.85756,0.57569,0.77275,0.63239,1.11172,0,0.000665057,0.000665057,0.000665057
83,386.617,0.5624,0.83137,0.69313,1.20561,0,0.9668,0.95579,0.9835,0.8877,0.97633,0.94732,0.97729,0.86076,0.55373,0.76,0.62017,1.09183,0,0.000655625,0.000655625,0.000655625
84,391.118,0.56239,1.00022,0.73074,1.1983,0,0.97572,0.94156,0.98086,0.87681,0.97167,0.94489,0.97671,0.86442,0.5353,0.77075,0.58375,1.08715,0,0.000646194,0.000646194,0.000646194
85,394.84,0.5913,0.94812,0.74989,1.18791,0,0.96998,0.94539,0.9803,0.88222,0.9622,0.94533,0.97366,0.8617,0.53299,0.79805,0.57965,1.0822,0,0.000636762,0.000636762,0.000636762
86,399.951,0.57232,0.7693,0.67193,1.21691,0,0.95308,0.95688,0.97963,0.88493,0.94823,0.95191,0.97288,0.862,0.52123,0.79368,0.57183,1.05879,0,0.000627331,0.000627331,0.000627331
87,405.475,0.54517,0.90925,0.68553,1.21777,0,0.94892,0.95305,0.98172,0.88528,0.98471,0.9136,0.97638,0.86608,0.53686,0.72544,0.5732,1.06535,0,0.0006179,0.0006179,0.0006179
88,409.268,0.5816,0.87379,0.70635,1.21498,0,0.95944,0.94776,0.98161,0.88644,0.95854,0.94662,0.97816,0.86818,0.54195,0.71336,0.57444,1.07162,0,0.000608468,0.000608468,0.000608468
89,413.337,0.55607,0.94122,0.70869,1.20007,0,0.96208,0.94897,0.98407,0.91125,0.98621,0.92892,0.97899,0.86949,0.50081,0.72861,0.54494,1.03345,0,0.000599037,0.000599037,0.000599037
90,419.15,0.53482,0.93381,0.65433,1.18099,0,0.98777,0.93213,0.98462,0.89959,0.98777,0.93213,0.97893,0.86412,0.50664,0.73926,0.54701,1.043,0,0.000589605,0.000589605,0.000589605
91,423.545,0.53652,0.94573,0.71634,1.16262,0,0.9602,0.96073,0.98511,0.8938,0.97597,0.93658,0.97844,0.86145,0.52795,0.76465,0.54853,1.0578,0,0.000580174,0.000580174,0.000580174
92,427.528,0.59231,1.07665,0.72635,1.19048,0,0.95857,0.96379,0.98701,0.8748,0.96033,0.94586,0.97824,0.86264,0.55087,0.75371,0.55347,1.07787,0,0.000570743,0.000570743,0.000570743
93,433.186,0.5479,0.84786,0.69395,1.21365,0,0.95537,0.96727,0.98675,0.87192,0.98201,0.92956,0.97814,0.8619,0.54483,0.73487,0.55453,1.07694,0,0.000561311,0.000561311,0.000561311
94,437.173,0.55436,0.874,0.70009,1.17252,0,0.95526,0.9597,0.98691,0.87223,0.98581,0.92992,0.97818,0.86358,0.51922,0.71074,0.54563,1.05559,0,0.00055188,0.00055188,0.00055188
95,441.142,0.5304,0.84599,0.69273,1.19837,0,0.96318,0.96186,0.98659,0.88711,0.98744,0.92618,0.97611,0.86541,0.49964,0.70326,0.54513,1.03609,0,0.000542448,0.000542448,0.000542448
96,445.603,0.56238,1.00662,0.7282,1.1863,0,0.97949,0.97255,0.98716,0.89381,0.97083,0.95762,0.97624,0.86065,0.50974,0.71104,0.56189,1.04514,0,0.000533017,0.000533017,0.000533017
97,450.831,0.54547,0.8183,0.68618,1.18252,0,0.98109,0.9627,0.98845,0.90419,0.9755,0.95406,0.97345,0.85852,0.50339,0.72227,0.55923,1.03549,0,0.000523586,0.000523586,0.000523586
98,454.661,0.50104,0.97434,0.63663,1.14984,0,0.98075,0.9593,0.98791,0.9019,0.97493,0.95318,0.97347,0.86774,0.50266,0.70787,0.54619,1.04307,0,0.000514154,0.000514154,0.000514154
99,458.419,0.55073,0.97823,0.70141,1.18227,0,0.96461,0.94581,0.9784,0.89628,0.96804,0.94838,0.9776,0.8687,0.51123,0.69242,0.54533,1.05776,0,0.000504723,0.000504723,0.000504723
100,463.922,0.51194,0.92135,0.6313,1.15763,0,0.96885,0.93556,0.97993,0.90067,0.9774,0.92945,0.97906,0.87595,0.51958,0.67463,0.54827,1.06682,0,0.000495291,0.000495291,0.000495291
101,467.93,0.55949,0.88221,0.68576,1.20972,0,0.95138,0.93937,0.97928,0.89502,0.95037,0.93409,0.97823,0.87412,0.52386,0.6759,0.57212,1.06761,0,0.00048586,0.00048586,0.00048586
102,471.682,0.54736,0.99988,0.67363,1.18573,0,0.94212,0.93603,0.97411,0.89455,0.93771,0.93116,0.97233,0.86802,0.52504,0.6955,0.57819,1.06507,0,0.000476429,0.000476429,0.000476429
103,476.06,0.51954,0.83031,0.64709,1.15522,0,0.94402,0.94033,0.97365,0.89375,0.93965,0.93541,0.97208,0.8689,0.52548,0.66063,0.57612,1.05835,0,0.000466997,0.000466997,0.000466997
104,481.347,0.56686,0.88531,0.69833,1.17221,0,0.93069,0.95546,0.9811,0.90509,0.9265,0.95049,0.976,0.87547,0.51433,0.64907,0.56407,1.04134,0,0.000457566,0.000457566,0.000457566
105,485.172,0.50738,0.80917,0.63983,1.15636,0,0.97196,0.94445,0.98549,0.89325,0.96241,0.93467,0.97885,0.87679,0.52982,0.64349,0.56069,1.04855,0,0.000448134,0.000448134,0.000448134
106,489.049,0.54535,0.85179,0.65451,1.19953,0,0.9824,0.94489,0.98571,0.88651,0.96583,0.94394,0.97964,0.88583,0.54056,0.64865,0.55219,1.06614,0,0.000438703,0.000438703,0.000438703
107,494.138,0.50371,0.82363,0.66644,1.13669,0,0.98744,0.9485,0.98527,0.88933,0.9789,0.94082,0.9794,0.88432,0.53305,0.66177,0.53808,1.06559,0,0.000429272,0.000429272,0.000429272
108,498.626,0.5474,0.84866,0.68151,1.17335,0,0.99228,0.94757,0.98588,0.90506,0.98864,0.93732,0.97928,0.87686,0.4985,0.69148,0.52245,1.0367,0,0.00041984,0.00041984,0.00041984
109,502.471,0.4924,0.72858,0.60778,1.15032,0,0.97584,0.96228,0.98592,0.90818,0.9873,0.93828,0.97961,0.87844,0.49341,0.68072,0.51757,1.03403,0,0.000410409,0.000410409,0.000410409
110,506.711,0.49999,0.75807,0.59508,1.13426,0,0.96515,0.94922,0.9843,0.90335,0.98126,0.9286,0.97815,0.88112,0.49161,0.66641,0.51588,1.03744,0,0.000400977,0.000400977,0.000400977
111,512.891,0.52483,0.7913,0.60946,1.141,0,0.96628,0.95527,0.98551,0.92314,0.96134,0.95029,0.98012,0.87794,0.48554,0.63162,0.5018,1.03399,0,0.000391546,0.000391546,0.000391546
112,516.742,0.44328,0.85067,0.60958,1.10631,0,0.97976,0.96382,0.98637,0.91885,0.97009,0.9676,0.98117,0.87734,0.48586,0.62985,0.49828,1.02555,0,0.000382115,0.000382115,0.000382115
113,520.509,0.46223,0.68873,0.59076,1.13062,0,0.97645,0.97747,0.99031,0.91162,0.96664,0.96752,0.98145,0.8846,0.49432,0.64622,0.50171,1.01428,0,0.000372683,0.000372683,0.000372683
114,526.868,0.48245,0.76475,0.58896,1.11616,0,0.9763,0.97677,0.99043,0.90838,0.96629,0.96684,0.98162,0.88645,0.49424,0.64491,0.50211,1.00969,0,0.000363252,0.000363252,0.000363252
115,531.115,0.47821,0.82797,0.59024,1.13597,0,0.97243,0.9793,0.99028,0.90678,0.9627,0.96942,0.9817,0.89019,0.4853,0.6407,0.49947,1.00241,0,0.00035382,0.00035382,0.00035382
116,534.856,0.53114,0.89873,0.63974,1.16026,0,0.98943,0.94935,0.98968,0.91402,0.97403,0.94024,0.98211,0.88718,0.46284,0.63121,0.4966,0.98705,0,0.000344389,0.000344389,0.000344389
117,539.886,0.47199,0.74237,0.62437,1.11051,0,0.96231,0.95573,0.98986,0.91283,0.95745,0.95163,0.98202,0.89333,0.45585,0.6171,0.49786,0.98117,0,0.000334958,0.000334958,0.000334958
118,544.669,0.49446,0.7915,0.64462,1.14817,0,0.97143,0.97956,0.99112,0.91426,0.96188,0.96961,0.98222,0.89625,0.4567,0.60835,0.49398,0.983,0,0.000325526,0.000325526,0.000325526
119,548.561,0.50016,0.82761,0.60205,1.1439,0,0.99055,0.94653,0.99108,0.91454,0.97626,0.93275,0.97963,0.8944,0.4588,0.59972,0.49136,0.9816,0,0.000316095,0.000316095,0.000316095
120,552.301,0.48547,0.78064,0.59556,1.11577,0,0.98919,0.94527,0.99132,0.91632,0.975,0.93149,0.97993,0.89381,0.46172,0.60035,0.49462,0.98071,0,0.000306663,0.000306663,0.000306663
121,558.687,0.51044,0.83096,0.65061,1.15087,0,0.97317,0.94683,0.99136,0.92872,0.95934,0.93315,0.97903,0.89321,0.44068,0.62381,0.49425,0.9612,0,0.000297232,0.000297232,0.000297232
122,562.665,0.46905,0.77025,0.61195,1.12041,0,0.97796,0.94347,0.99156,0.9274,0.96388,0.92975,0.97877,0.8904,0.44033,0.636,0.49291,0.96046,0,0.000287801,0.000287801,0.000287801
123,566.658,0.45526,0.79474,0.56881,1.11494,0,0.96734,0.93892,0.98968,0.92653,0.95789,0.929,0.97928,0.89006,0.43657,0.66037,0.49386,0.95757,0,0.000278369,0.000278369,0.000278369
124,573.381,0.46645,0.79513,0.55602,1.11356,0,0.97878,0.93109,0.98911,0.93329,0.9691,0.92114,0.97857,0.89267,0.43656,0.65666,0.49368,0.9598,0,0.000268938,0.000268938,0.000268938
125,577.239,0.47366,0.81636,0.60646,1.11336,0,0.96951,0.93464,0.98989,0.93068,0.97358,0.91609,0.97963,0.89282,0.43673,0.63382,0.49297,0.96139,0,0.000259506,0.000259506,0.000259506
126,581.372,0.41897,0.71768,0.55571,1.07616,0,0.94164,0.96754,0.99025,0.92724,0.97441,0.91918,0.98034,0.89384,0.44145,0.61111,0.49508,0.96645,0,0.000250075,0.000250075,0.000250075
