epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,492.826,0.38336,0.41572,0.43201,0.97867,0,0.97833,0.99215,0.99261,0.88533,0.97706,0.99084,0.99151,0.9049,0.43486,0.34562,0.46717,1.11536,0,0.00122141,0.00122141,0.00122141
29,509.951,0.35977,0.40648,0.40384,0.96347,0,0.97307,0.99607,0.99255,0.8469,0.97109,0.99346,0.9914,0.865,0.50296,0.37723,0.45101,1.18976,0,0.00120491,0.00120491,0.00120491
30,526.493,0.36871,0.42994,0.42111,0.97114,0,0.97048,0.98085,0.98634,0.82726,0.97048,0.98085,0.98659,0.86827,0.48375,0.47384,0.48187,1.16206,0,0.0011884,0.0011884,0.0011884
31,543.343,0.3624,0.44358,0.3933,0.97577,0,0.98813,0.99346,0.99368,0.82556,0.98552,0.99084,0.99243,0.86425,0.52237,0.51032,0.45136,1.16458,0,0.0011719,0.0011719,0.0011719
32,560.388,0.35677,0.4086,0.40309,0.96607,0,0.97727,0.98429,0.99451,0.90168,0.97727,0.98429,0.99451,0.81515,0.48687,0.55058,0.45595,1.16701,0,0.0011554,0.0011554,0.0011554
33,577.875,0.38649,0.4922,0.42255,0.99455,0,0.96207,0.99027,0.99063,0.92158,0.96207,0.99027,0.99063,0.88951,0.39908,0.36008,0.39603,1.08093,0,0.00113889,0.00113889,0.00113889
34,594.898,0.34625,0.40264,0.3851,0.94508,0,0.98236,0.98605,0.9941,0.92007,0.98236,0.98605,0.99401,0.92493,0.38086,0.29118,0.34101,1.04511,0,0.00112239,0.00112239,0.00112239
35,612.842,0.3678,0.47942,0.38531,0.96834,0,0.9863,0.98691,0.99385,0.92649,0.9863,0.98691,0.99371,0.88728,0.4079,0.29293,0.37158,1.06998,0,0.00110589,0.00110589,0.00110589
36,629.619,0.34084,0.39306,0.37384,0.95197,0,0.96031,0.98953,0.98859,0.91563,0.96031,0.98953,0.98859,0.91203,0.39292,0.3315,0.46884,1.04573,0,0.00108938,0.00108938,0.00108938
37,646.293,0.35363,0.39552,0.4005,0.95543,0,0.99736,0.99179,0.99365,0.93441,0.99736,0.99179,0.99303,0.92666,0.34967,0.29742,0.34742,0.98271,0,0.00107288,0.00107288,0.00107288
